1.9,1,31.21913920097787
2.8,1,92.90468532689003
3.7,1,212.47191487674644
4.6,1,407.74532871027014
5.5,1,696.909970323346
6.4,1,1098.0662194466904
7.3,1,1629.5105991000873
8.2,1,2309.5648776393227
9.1,1,3156.5508234201916
10,1,4188.790204798471
1,1.9,54.87199999999994
1.9,1.9,63.424194414994595
2.8,1.9,116.37611815770215
3.7,1.9,228.43510910257197
4.6,1.9,417.4404730833191
5.5,1.9,702.8060289928885
6.4,1.9,1101.4007383255903
7.3,1.9,1631.0999496053507
8.2,1.9,2310.0935818721905
9.1,1.9,3156.603066243034
10,1.9,4188.790204798471
1,2.8,175.61599999999987
1.9,2.8,175.64573146553332
2.8,2.8,202.98701207143367
3.7,2.8,299.32619062454273
4.6,2.8,476.37435710695195
5.5,2.8,748.030737427412
6.4,2.8,1134.0535759941295
7.3,2.8,1655.128302603224
8.2,2.8,2327.74442759767
9.1,2.8,3168.999531255437
10,2.8,4196.784313399793
1,3.7,405.2239999999998
1.9,3.7,405.2239999999998
2.8,3.7,409.3647224464364
3.7,3.7,468.360133435909
4.6,3.7,620.0537584618164
5.5,3.7,875.5816177489912
6.4,3.7,1245.4155144439283
7.3,3.7,1746.3797375868949
8.2,3.7,2399.145374029739
9.1,3.7,3225.4736456791857
10,3.7,4242.301373778711
1,4.6,778.6879999999999
1.9,4.6,778.6879999999999
2.8,4.6,778.6879999999999
3.7,4.6,797.884703493013
4.6,4.6,900.0018155697064
5.5,4.6,1118.6153374885735
6.4,4.6,1465.9219336331457
7.3,4.6,1947.638590132985
8.2,4.6,2579.8822932984012
9.1,4.6,3379.855824699278
10,4.6,4369.081809748472
1,5.5,1330.9999999999998
1.9,5.5,1330.9999999999998
2.8,5.5,1330.9999999999998
3.7,5.5,1331.0581111872025
4.6,5.5,1381.9057820305557
5.5,5.5,1538.3599291671107
6.4,5.5,1835.1858341770394
7.3,5.5,2287.339439120069
8.2,5.5,2894.511043113583
9.1,5.5,3671.81782451624
10,5.5,4636.145887873312
1,6.4,2097.1520000000028
1.9,6.4,2097.1520000000014
2.8,6.4,2097.152000000002
3.7,6.4,2097.1520000000028
4.6,6.4,2104.1174843269373
5.5,6.4,2201.9608225789607
6.4,6.4,2423.872728905085
7.3,6.4,2809.955673356244
8.2,6.4,3379.8473885975236
9.1,6.4,4125.780665702738
10,6.4,5061.9561228127295
1,7.3,3112.1359999999986
1.9,7.3,3112.135999999993
2.8,7.3,3112.135999999997
3.7,7.3,3112.1359999999963
4.6,7.3,3112.1359999999954
5.5,7.3,3141.5709819140434
6.4,7.3,3298.3963177182195
7.3,7.3,3596.9837088793474
8.2,7.3,4083.2505395701874
9.1,7.3,4783.441576893003
10,7.3,5681.5209437155545
1,8.2,4410.9439999999995
1.9,8.2,4410.944
2.8,8.2,4410.943999999999
3.7,8.2,4410.943999999998
4.6,8.2,4410.9439999999995
5.5,8.2,4411.030490399075
6.4,8.2,4484.043162132911
7.3,8.2,4711.5944111702065
8.2,8.2,5098.136363185644
9.1,8.2,5695.504510706382
10,8.2,6538.301121523513
1,9.1,6028.567999999991
1.9,9.1,6028.567999999996
2.8,9.1,6028.567999999996
3.7,9.1,6028.567999999993
4.6,9.1,6028.567999999997
5.5,9.1,6028.567999999998
6.4,9.1,6038.397814886456
7.3,9.1,6172.3574539133715
8.2,9.1,6482.041430700138
9.1,9.1,6967.7741859196885
10,9.1,7687.1914391446135
1,10,8000.000000000003
1.9,10,7999.999999999993
2.8,10,7999.999999999998
3.7,10,8000.0
4.6,10,8000.000000000004
5.5,10,8000.0
6.4,10,8000.0
7.3,10,8039.611326626035
8.2,10,8247.159976481089
9.1,10,8650.131109844142
10,10,9246.293163472068
